id_event,nama_event,tahun_mulai
E1,Coachella,1999
E2,Glastonbury,1970
E3,Lollapalooza,1991
E4,Tomorrowland,2005
E5,Rock in Rio,1985
E6,Summer Sonic,2000
E7,Java Jazz,2005
E8,Festival,2005
E9,SXSW,1987
E10,We The Fest,2014
