id_lokasi,negara,lokasi
L1,USA,Empire Polo Club
L2,UK,Worthy Farm
L3,USA,Grant Park
L4,Belgia,Boom
L5,Brasil,Cidade do Rock
L6,Jepang,Tokyo & Osaka
L7,Indonesia,JIExpo Kemayoran
L8,UK,Finsbury Park
L9,USA,Austin-Texas
L10,Indonesia,GBK Senayan
